Armenia,"65,280",(X),(X),(X),(X),"32,166","36,628",(NA),(NA),(NA),(NA),(NA),(NA),(NA)
China,"988,857","529,837","286,120","172,132","99,735","46,129","43,560","56,756","81,534","106,688","104,468","63,042","35,565",758
India,"1,022,552","450,406","206,087","51,000","12,296","5,850","4,901","4,664","2,031","2,143","1,707",586,(NA),(NA)
Japan,"347,539","290,128","221,794","120,235","109,175","70,993","81,502","67,744","24,788","2,292",401,73,(NA),(NA)
Palestine,(NA),"21,070",(NA),(NA),(NA),"6,137","3,203",(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Syria,"54,561","36,782","22,081","14,962","16,717","57,227","51,901",(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Turkey in Asia,"78,378","55,087","51,915","48,085","52,228","46,654","11,019","59,729",(NA),(NA),(NA),(NA),(NA),(NA)
Other Asia,(NA),"3,595,727","1,751,780","418,473","200,845","10,509","5,236","2,591","11,895","2,260","1,054",864,"1,231",377
Africa,"881,300","363,819","199,723","80,143","35,355","18,326","16,126","3,992","2,538","2,207","2,204","2,657",526,551
Africa excl. Atlantic Islands,(NA),"349,451","189,266","61,463","27,053","8,859","5,781","3,992","2,538","2,207","2,204","2,657",526,551
Atlantic Islands,(NA),"14,368","10,457","18,680","8,302","9,467","10,345",(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Oceania,"168,046","104,145","77,577","41,258","34,730","17,343","14,626","11,450","8,820","9,353","6,859","4,028","2,140",588
Australia,"60,965","42,267","36,120","24,271","22,209","12,816","10,914","9,035","6,807","5,984","4,906","3,118","1,419",(NA)
Sandwich Islands (Hawaii),(X),(X),(X),(X),(X),(X),(X),(X),(X),"1,304","1,147",584,435,588
Other Oceania,"61,878","41,457","16,987","12,521","4,527","3,712","2,415","2,013","2,065",806,326,286,(NA),
Latin America,"16,086,974","8,407,837","4,372,487","1,803,970","908,309","791,840","588,843","279,514","137,458","107,307","90,073","57,871","38,315","20,773"
Caribbean,"2,953,066","1,938,348","1,258,363","675,108","193,922","106,241","78,962","47,635","25,435","23,256","16,401","11,570","7,353","5,772"
Cuba,"872,716","736,971","607,814","439,048","79,150","18,493","14,872","15,133","11,081",(NA),"6,917","5,319",(NA),(NA)
Other Caribbean,(NA),"1,201,377","650,549","236,060","114,772","87,748","64,090","32,502","14,354",(NA),"9,484","6,251",(NA),(NA)
Central America,"11,203,673","5,431,992","2,553,113","873,624","624,851","651,976","491,330","223,651","107,290","79,045","69,106","42,736","27,699","13,458"
Mexico,"9,177,487","4,298,014","2,199,221","759,711","575,902","641,462","486,418","221,915","103,393","77,853","68,399","42,435","27,466","13,317"
Other Central America,"2,026,150","1,133,978","353,892","113,913","48,949","10,514","4,912","1,736","3,897","1,192",707,301,233,141
South America,"1,930,271","1,037,497","561,011","255,238","89,536","33,623","18,551","8,228","4,733","5,006","4,566","3,565","3,263","1,543"
Northern America,"829,442","753,917","853,427","812,421","952,500","1,310,369","1,138,174","1,209,717","1,179,922","980,938","717,286","493,467","249,970","147,711"
Canada,"820,771","744,830","842,859","812,421","952,500","1,310,369","1,138,174","1,209,717","1,179,922","980,938","717,157","493,464","249,970","147,711"
Canada-French,(NA),(NA),(NA),(NA),(NA),"370,852","307,786","385,083","395,126","302,496",(NA),(NA),(NA),(NA)
Canada-Other,(NA),(NA),(NA),(NA),(NA),"915,537","817,139","819,554","784,796","678,442",(NA),(NA),(NA),(NA)
Newfoundland,(NA),(NA),(NA),(NA),(NA),"23,980","13,249","5,080",(NA),(NA),(NA),(NA),(NA),(NA)
Other Northern America,"8,671","9,087","10,568",(NA),(NA),(NA),(NA),(NA),(NA),(NA),129,3,(NA),(NA)
Region or country not reported,316,"808,158","887,343","315,732","59,890","6,596","8,925","9,614","10,742","6,012","4,068","3,592","3,888","41,977"
Born at sea,(NA),(NA),(NA),(NA),(NA),"5,008","5,336","6,927","8,196","5,533","4,068","2,638","2,522",(NA)
Not reported,(NA),(NA),(NA),(NA),(NA),"1,588","3,589","2,687","2,546",479,(NA),954,"1,366","41,977"
